28,46,26,32.25,2,38.46
28,43,29,31.75,-1,37.96
29,35,36,30.38,-7,41.69
26,46,28,30.00,-2,35.76
28,41,31,29.75,-3,38.35
34,39,27,30.38,7,37.75
40,31,29,32.00,11,37.57
38,36,26,31.38,12,38.01
39,36,25,32.75,14,32.83
42,33,25,34.50,17,34.34
37,29,34,35.50,3,29.96
26,45,29,35.50,-3,26.91
37,34,29,36.63,8,25.86
43,30,27,37.75,16,28.63
52,27,21,39.25,31,26.54
41,26,33,39.63,8,33.02
40,28,32,39.75,8,30.85
33,28,39,38.63,-6,26.43
37,33,30,38.63,7,23.74
43,33,24,40.75,19,30.35
36,39,25,40.63,11,22.14
42,32,26,40.50,16,23.88
37,41,22,38.63,15,24.28
51,33,16,39.88,35,24.69
47,29,24,40.75,23,28.23
45,37,18,42.25,27,26.17
44,36,20,43.13,24,28.99
63,22,15,45.63,48,32.69
43,37,20,46.50,23,31.15
34,36,30,45.50,4,34.73
36,42,22,45.38,14,40.18
27,40,33,42.38,-6,41.31
29,40,31,40.13,-2,46.21
26,37,37,37.75,-11,50.57
31,41,28,36.13,3,46.50
28,40,32,31.75,-4,44.75
27,44,29,29.75,-2,37.89
30,44,26,29.25,4,34.36
41,36,23,29.88,18,33.62
40,35,25,31.50,15,31.10
40,40,20,32.88,20,28.59
52,33,15,36.13,37,29.82
49,35,16,38.38,33,23.01
59,26,15,42.25,44,22.47
52,25,23,45.38,29,27.71
45,30,25,47.25,20,25.03
49,33,18,48.25,31,27.02
54,30,16,50.00,38,29.66
53,25,22,51.63,31,21.52
48,26,26,51.13,22,18.32
49,28,23,51.13,26,16.70
49,30,21,49.88,28,17.98
47,33,20,49.25,27,17.07
50,28,22,49.88,28,14.18
37,38,25,48.38,12,4.83
42,36,22,46.88,20,9.22
40,44,16,45.25,24,7.32
39,42,19,44.13,20,10.53
38,43,19,42.75,19,3.89
43,43,14,42.00,29,1.80
43,36,21,41.50,22,11.89
40,46,14,40.25,26,13.70
41,36,23,40.75,18,20.12
38,37,25,40.25,13,23.02
45,38,17,40.88,28,21.26
40,38,22,41.00,18,20.81
40,40,20,41.25,20,24.80
49,33,18,42.00,31,19.61
46,37,17,42.38,29,22.35
40,41,19,42.38,21,25.48
